id;name;bezeichnung;zusammenfassung;start;ende;gesamt;satz;kofinanzierung;plz;land;themenfeld
33;"Modul e.V.";"Los 1: Berufsorientierung Handwerk - ""Netzwerk Berufspraxis""";"Konzeptionierungs- und Umsetzungsleistungen betreffend das ESF-Förderinstrument Nr. 16 des Landes Berlin
&bdquo;Vertiefte Berufsorientierung / Erhöhung der Berufswahlkompetenz&ldquo;";2015-10-05;2018-08-31;2.397;51%;1.174;13359;DE300;"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs..."
36;"Modul e.V.";"Los 1: Berufsorientierung Handwerk - ""Netzwerk Berufspraxis""";"Konzeptionierungs- und Umsetzungsleistungen betreffend das ESF-Förderinstrument Nr. 16 des Landes Berlin
&bdquo;Vertiefte Berufsorientierung / Erhöhung der Berufswahlkompetenz&ldquo;";2015-10-05;2018-08-31;2.397;51%;1.174;13359;DE300;"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs..."
39;"BBW Akademie GmbH";"Los 2: ""Berufsorientierung, Berufswahl und Entscheidungsfindung""";"Konzeptionierungs- und Umsetzungsleistungen betreffend das ESF-Förderinstrument Nr. 16 des Landes Berlin
&bdquo;Vertiefte Berufsorientierung / Erhöhung der Berufswahlkompetenz&ldquo;";2015-10-09;2018-08-31;2.019;51%;989.31;10318;DE300;"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs..."
42;"BBW Akademie GmbH";"Los 2: ""Berufsorientierung, Berufswahl und Entscheidungsfindung""";"Konzeptionierungs- und Umsetzungsleistungen betreffend das ESF-Förderinstrument Nr. 16 des Landes Berlin
&bdquo;Vertiefte Berufsorientierung / Erhöhung der Berufswahlkompetenz&ldquo;";2015-10-09;2018-08-31;2.019;51%;989.31;10318;DE300;"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs..."
45;"ZukunftPlus e.V.";"„Einsteigen - mit dem Ticket Hauptschulabschluß in Deine berufliche Zukunft!“ - AZ 15.2015-08-01";"Konzeptionierungs- und Umsetzungsleistungen betreffend das ESF-Förderinstrument Nr. 15 des Landes Berlin
&bdquo;Berufliche Integration Jugendlicher: Berufsorientierung und Berufsvorbereitung&ldquo;";2015-09-30;2019-01-31;2.151;50%;1.075;10243;DE300;"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs..."
48;"ZukunftPlus e.V.";"„Einsteigen - mit dem Ticket Hauptschulabschluß in Deine berufliche Zukunft!“ - AZ 15.2015-08-01";"Konzeptionierungs- und Umsetzungsleistungen betreffend das ESF-Förderinstrument Nr. 15 des Landes Berlin
&bdquo;Berufliche Integration Jugendlicher: Berufsorientierung und Berufsvorbereitung&ldquo;";2015-09-30;2019-01-31;2.151;50%;1.075;10243;DE300;"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs..."
51;"Stiftung SPI, GB Lebenslagen, Vielfalt & Stadtentwicklung";"Programmagentur Rechtskunde - Jugendgerichtsprojekt";"Konzeptionierungs- und   Umsetzungsleistungen betreffend das   ESF-Förderinstrument Nr. 16   des Landes Berlin   &bdquo;Vertiefte Berufsorientierung /   Erhöhung der Berufswahlkompetenz&ldquo;";2015-10-01;2018-08-31;1.668;50%;834.498;10247;DE300;"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs..."
54;"Stiftung SPI, GB Lebenslagen, Vielfalt & Stadtentwicklung";"Programmagentur Rechtskunde - Jugendgerichtsprojekt";"Konzeptionierungs- und   Umsetzungsleistungen betreffend das   ESF-Förderinstrument Nr. 16   des Landes Berlin   &bdquo;Vertiefte Berufsorientierung /   Erhöhung der Berufswahlkompetenz&ldquo;";2015-10-01;2018-08-31;1.668;50%;834.498;10247;DE300;"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs..."
57;"Schildkröte GmbH";"StartPunkt B. Berufsorientierung";"Konzeptionierungs- und Umsetzungsleistungen betreffend das  ESF-Förderinstrument Nr. 15 des Landes Berlin  &bdquo;Berufliche Integration Jugendlicher: Berufsorientierung und Berufsvorbereitung&ldquo;";2015-09-30;2019-04-30;1.583;50%;791.802;10967;DE300;"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs..."
60;"Schildkröte GmbH";"StartPunkt B. Berufsorientierung";"Konzeptionierungs- und Umsetzungsleistungen betreffend das  ESF-Förderinstrument Nr. 15 des Landes Berlin  &bdquo;Berufliche Integration Jugendlicher: Berufsorientierung und Berufsvorbereitung&ldquo;";2015-09-30;2019-04-30;1.583;50%;791.802;10967;DE300;"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs..."
63;"Arbeit und Bildung e.V.";"""Zukunft im Beruf-ZIB"" -(Betriebs-)pädagogische Begleitung an beruflichen Schulen";"Konzeptionierungs- und Umsetzungsleistungen betreffend das ESF-Förderinstrument Nr. 17 des Landes Berlin &bdquo;(Betriebs)pädagogische Begleitung an beruflichen Schulen&ldquo;";2015-09-30;2018-08-31;8.885;50%;4.442;10785;DE300;"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs..."
66;"Arbeit und Bildung e.V.";"""Zukunft im Beruf-ZIB"" -(Betriebs-)pädagogische Begleitung an beruflichen Schulen";"Konzeptionierungs- und Umsetzungsleistungen betreffend das ESF-Förderinstrument Nr. 17 des Landes Berlin &bdquo;(Betriebs)pädagogische Begleitung an beruflichen Schulen&ldquo;";2015-09-30;2018-08-31;8.885;50%;4.442;10785;DE300;"115 - Verringerung und Verhütung der frühen Beendigung der Schullaufbahn und Förderung des gleichen Zugangs..."
69;"Notdienst für Suchtmittelgefährdete und -abhängige Berlin e. V.";"Qualifizierungs- und Begleitprojekt für suchtmittelkranke und substituierte Personen im Arbeitsbereich des Notdienstes";"Die Projektförderung aus Mitteln des Europäischen Sozialfonds (ESF) richtet sich an die Durchführung von Maßnahmen für eine Beschäftigung und Qualifizierung für langzeitarbeitslose suchtmittelgefährdete und suchtmittelabhängige Menschen in Berlin, die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können.  
 Zuwendungszweck und Ziel: Integration der Zielgruppe in das Arbeits- und Berufsleben und (Wieder-) und Erlangung von arbeitsrelevanten Grundkompetenzen.";2015-11-01;2018-09-30;1.382;50%;610.543;10785;DE300;"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
72;"Notdienst für Suchtmittelgefährdete und -abhängige Berlin e. V.";"Qualifizierungs- und Begleitprojekt für suchtmittelkranke und substituierte Personen im Arbeitsbereich des Notdienstes";"Die Projektförderung aus Mitteln des Europäischen Sozialfonds (ESF) richtet sich an die Durchführung von Maßnahmen für eine Beschäftigung und Qualifizierung für langzeitarbeitslose suchtmittelgefährdete und suchtmittelabhängige Menschen in Berlin, die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können.  
 Zuwendungszweck und Ziel: Integration der Zielgruppe in das Arbeits- und Berufsleben und (Wieder-) und Erlangung von arbeitsrelevanten Grundkompetenzen.";2015-11-01;2018-09-30;1.382;50%;610.543;10785;DE300;"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
75;"PAWIAN gGmbH";"Modulare Qualifizierung Gastronomie";"Durchführung von Maßnahmen der Beschäftigung und Qualifizierung für langzeitarbeitslose suchtmittelgefährdete und suchtmittelabhängige Menschen in Berlin aus Mitteln des Europäischen Sozialfonds (ESF), die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können";2015-11-01;2018-09-30;610.427;45,85%;308.913;10559;DE300;"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
78;"PAWIAN gGmbH";"Modulare Qualifizierung Gastronomie";"Durchführung von Maßnahmen der Beschäftigung und Qualifizierung für langzeitarbeitslose suchtmittelgefährdete und suchtmittelabhängige Menschen in Berlin aus Mitteln des Europäischen Sozialfonds (ESF), die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können";2015-11-01;2018-09-30;610.427;45,85%;308.913;10559;DE300;"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
81;"Anti-Drogen-Verein e.V. (ADV)";"Modulare Qualifizierung Holztechnik";"Durchführung von Maßnahmen der Beschäftigung und Qualifizierung für langzeitarbeitslose suchtmittelgefährdete und suchtmittelabhängige Menschen in Berlin aus Mitteln des Europäischen Sozialfonds (ESF), die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können.";2015-11-01;2018-09-30;711.009;49,80%;339.963;10559;DE300;"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
84;"Anti-Drogen-Verein e.V. (ADV)";"Modulare Qualifizierung Holztechnik";"Durchführung von Maßnahmen der Beschäftigung und Qualifizierung für langzeitarbeitslose suchtmittelgefährdete und suchtmittelabhängige Menschen in Berlin aus Mitteln des Europäischen Sozialfonds (ESF), die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können.";2015-11-01;2018-09-30;711.009;49,80%;339.963;10559;DE300;"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
87;"FrauSuchtZukunft Verein zur Hilfe suchtmittelabhängiger Frauen e. V.";"tiebrA - Berufliche Integration";"Die Projektförderung aus Mitteln des Europäischen Sozialfonds (ESF) richtet sich an die Durchführung von Maßnahmen für eine Beschäftigung und Qualifizierung für langzeitarbeitslose suchtmittelgefährdete und suchtmittelabhängige Menschen in Berlin, die nicht nach dem SGB III oder anderen gesetzlichen Grundlagen gefördert werden können.  
 
  Zuwendungszweck und Ziel: Integration der Zielgruppe in das Arbeits- und Berufsleben und (Wieder-) und Erlangung von arbeitsrelevanten Grundkompetenzen.";2015-11-04;2018-09-30;1.111;49,10%;565.856;10969;DE300;"109 - Aktive Inklusion, nicht zuletzt durch die Förderung der Chancengleichheit und aktiver Beteiligung..."
